"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"63","Process","GO:0048518",54,6112,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000219334,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000241261,9606.ENSP00000260600,9606.ENSP00000261024,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000272425,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000308976,9606.ENSP00000321370,9606.ENSP00000344866,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000350359,9606.ENSP00000355996,9606.ENSP00000356076,9606.ENSP00000356905,9606.ENSP00000360869,9606.ENSP00000360891,9606.ENSP00000364945,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000369442,9606.ENSP00000375907,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000397312,9606.ENSP00000410257,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000422607,9606.ENSP00000440643,9606.ENSP00000441828,9606.ENSP00000447730,9606.ENSP00000467290,9606.ENSP00000469445,9606.ENSP00000478561,9606.ENSP00000479919","CD4,OSM,SMPD3,HGF,NAMPT,TNFSF10,ADCY3,SLC40A1,IRAK3,EPAS1,BST1,EGF,NAT8,HHEX,STOM,TGFA,CCR1,GPR27,VWC2L,ZBED2,FBXL5,PLSCR1,ARG1,CREB5,G0S2,DYRK3,VNN1,IFIT1,IFIT2,DDAH2,TNFSF13B,FLOT1,KLF5,KL,PID1,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,LRRN3,SCN5A,ADAM9,MYO10,ACSL1,TLR5,HPR,CD63,SEMA6B,PNMA3,CYP1B1,SH3GLB1",6.85e-06,0.0022,"Positive regulation of biological process"
"64","Process","GO:0002576",7,129,9606,"9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265171,9606.ENSP00000323929,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000447730","HGF,SRGN,EGF,A2M,PROS1,MMRN1,CD63",7.38e-06,0.0023,"Platelet degranulation"
"65","Process","GO:0001817",15,742,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000261233,9606.ENSP00000330959,9606.ENSP00000349446,9606.ENSP00000365569,9606.ENSP00000370115,9606.ENSP00000384262,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000440643,9606.ENSP00000478561","CD4,OSM,HGF,SRGN,IRAK3,IL1R2,ARG1,FLOT1,SERPINB1,HPSE,MDK,IL1R1,IL18R1,TLR5,CYP1B1",9.17e-06,0.0027,"Regulation of cytokine production"
"66","Process","GO:0071310",29,2369,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261233,9606.ENSP00000296140,9606.ENSP00000330959,9606.ENSP00000348521,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000359258,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000369442,9606.ENSP00000375907,9606.ENSP00000381793,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000422607,9606.ENSP00000478561","CD4,OSM,SMPD3,AQP9,HGF,NAMPT,OASL,ADCY3,IRAK3,CCR1,IL1R2,GJB6,ARG1,CCRL2,GCLM,IFIT1,IFIT3,IFIT2,TNFSF13B,FLOT1,KLF5,KL,PID1,GRB10,IL1R1,IL18R1,ADAM9,ACSL1,CYP1B1",9.93e-06,0.0029,"Cellular response to organic substance"
"67","Process","GO:0051649",29,2375,9606,"9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000295400,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356465,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000421280,9606.ENSP00000440984,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,PYGL,HGF,SRGN,BST1,EGF,HHEX,STOM,HK3,TGFA,RNASE2,A2M,QPCT,ARG1,RAB32,STX11,VNN1,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MYO10,AP3B2,MGAM,LIN7A,CD63,FOLR3",1.04e-05,0.003,"Establishment of localization in cell"
"68","Process","GO:0048584",28,2257,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000241261,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000321370,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000355996,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000440643,9606.ENSP00000447730,9606.ENSP00000478561","CD4,OSM,HGF,TNFSF10,EGF,HHEX,TGFA,CCR1,GPR27,ZBED2,PLSCR1,ARG1,G0S2,TNFSF13B,FLOT1,KL,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,ADAM9,MYO10,TLR5,CD63,CYP1B1",1.16e-05,0.0033,"Positive regulation of response to stimulus"
"69","Process","GO:0009967",23,1654,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000222390,9606.ENSP00000241261,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000321370,9606.ENSP00000355996,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000440643,9606.ENSP00000447730,9606.ENSP00000478561","CD4,OSM,HGF,TNFSF10,EGF,HHEX,TGFA,CCR1,GPR27,ZBED2,G0S2,FLOT1,KL,GRB10,DAAM2,HPSE,CARD10,IL1R1,IL18R1,ADAM9,TLR5,CD63,CYP1B1",1.48e-05,0.004,"Positive regulation of signal transduction"
"70","Process","GO:0051641",33,2967,9606,"9606.ENSP00000011653,9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000295400,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356465,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000421280,9606.ENSP00000440984,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000479919,9606.ENSP00000481114","CD4,SLC2A3,PYGL,HGF,SRGN,BST1,EGF,HHEX,STOM,HK3,TGFA,RNASE2,A2M,QPCT,ARG1,RAB32,STX11,VNN1,FLOT1,KLF5,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MYO10,AP3B2,MGAM,LIN7A,CD63,SH3GLB1,FOLR3",1.47e-05,0.004,"Cellular localization"
"71","Process","GO:0010033",33,3011,9606,"9606.ENSP00000011653,9606.ENSP00000215781,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000241261,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261233,9606.ENSP00000282728,9606.ENSP00000296140,9606.ENSP00000330959,9606.ENSP00000345494,9606.ENSP00000348521,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000359258,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000369442,9606.ENSP00000375907,9606.ENSP00000381793,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000422607,9606.ENSP00000478561","CD4,OSM,SMPD3,AQP9,HGF,NAMPT,TNFSF10,OASL,ADCY3,IRAK3,HHEX,CCR1,IL1R2,PLSCR1,GJB6,ARG1,CCRL2,GCLM,IFIT1,IFIT3,IFIT2,TNFSF13B,FLOT1,KLF5,KL,PID1,GRB10,MDK,IL1R1,IL18R1,ADAM9,ACSL1,CYP1B1",2e-05,0.0052,"Response to organic substance"
"72","Process","GO:0007165",45,4876,9606,"9606.ENSP00000011653,9606.ENSP00000054668,9606.ENSP00000215781,9606.ENSP00000216338,9606.ENSP00000219334,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000241261,9606.ENSP00000242465,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000282728,9606.ENSP00000293851,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000325296,9606.ENSP00000330959,9606.ENSP00000349967,9606.ENSP00000355996,9606.ENSP00000356465,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000364945,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000369442,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000422607,9606.ENSP00000436714,9606.ENSP00000440643,9606.ENSP00000467290,9606.ENSP00000478561","CD4,UTS2,OSM,GZMH,SMPD3,HGF,NAMPT,TNFSF10,SRGN,OASL,ADCY3,IRAK3,EPAS1,BST1,EGF,HHEX,PRSS33,TGFA,CCR1,GPR27,PKD2L1,IL1R2,CCRL2,G0S2,RAB32,IFIT1,IFIT3,IFIT2,DDAH2,TNFSF13B,FLOT1,KL,GRB10,DAAM2,CARD10,MDK,IL1R1,IL18R1,ADAM9,MYO10,ACSL1,HCAR3,TLR5,SEMA6B,CYP1B1",2.65e-05,0.0068,"Signal transduction"
